;ESTADO;DISTRIBUIDORA;TUSD;TE;S_IMPOSTO
1;ACRE;ELETROACRE - AC;0,38592;0,19599;0,58191
2;ALAGOAS;CEAL - AL;0,39558;0,2353;0,63088
3;AMAPÁ;CEA - AP;0,36245;0,1428;0,50525
4;AMAZONAS;AME - AM;0,45019;0,2433;0,69349
5;AMAZONAS;CEA - AM;0,38848;0,1487;0,53718
6;BAHIA;COELBA - BA;0,39458;0,22499;0,61957
7;CEARA;ENEL - CE;0,33158;0,2572;0,58878
8;DISTRITO FEDERAL;CELG - DF;0,27985;0,25383;0,53368
9;DISTRITO FEDERAL;CEB - DF;0,27187;0,24291;0,51478
10;ESPIRITO SANTO;EDP - ES;0,29408;0,26292;0,557
11;ESPIRITO SANTO;ELFSM - ES;0,28452;0,25478;0,5393
12;GOIAIS;ENEL - GO;0,26697;0,29478;0,56175
13;MARANHÃO;CEMAR - MA;0,42362;0,20459;0,62821
14;MATO GROSSO;ENERGISA - MT;0,40657;0,27693;0,6835
15;MATO GROSSO DO SUL;ENERGISA - MS;0,42311;0,27054;0,69365
16;MINAS GERAIS;CEMIG - MG;0,35377;0,26435;0,61812
17;PARA;CELPA - PA;0,47694;0,22627;0,70321
18;PARAIBA;EBO - PB;0,28575;0,23133;0,51708
19;PARAIBA;EPB - PB;0,34399;0,21812;0,56211
20;PARANÁ;COPEL - PR;0,25086;0,26191;0,51277
21;PERNAMBUCO;CELPE - PE;0,34515;0,27433;0,61948
22;PIAUI;CEPISA - PI;0,39621;0,18561;0,58182
23;RIO DE JANEIRO;CERAL ARARUAMA - RJ;0,86738;0,24029;1,10767
24;RIO DE JANEIRO;ENF - RJ;0,38016;0,28228;0,66244
25;RIO DE JANEIRO;CERCI - RJ;0,79241;0,23133;1,02374
26;RIO DE JANEIRO;CERES - RJ;0,82374;0,20173;1,02547
27;RIO DE JANEIRO;ENEL - RJ;0,44501;0,26943;0,71444
28;RIO DE JANEIRO;LIGHT - RJ;0,38946;0,30459;0,69405
29;RIO GRANDE DO NORTE;COSERN - RN;0,3134;0,24564;0,55904
30;RIO GRANDE DO SUL;CEEE - RS;0,29026;0,27001;0,56027
31;RONDONIA;CERON - RO;0,34987;0,16451;0,51438
32;RORAIMA;CERR - RR;0,38814;0,20116;0,5893
33;SANTA CATARINA;CELESC - SC;0,23159;0,2744;0,50599
34;SÃO PAULO;CPFL - PAULISTA;0,36599;0,29592;0,66191
35;SÃO PAULO;CPFL - PIRATININGA;0,36087;0,31931;0,68018
36;SÃO PAULO;EDP - SP;0,37743;0,27614;0,65357
37;SÃO PAULO;ENEL - SP;0,39603;0,26046;0,65649
38;SÃO PAULO;CPFL SC - SP;0,31686;0,24811;0,56497
39;SÃO PAULO;ELEKTRO - SP;0,42645;0,26649;0,69294
40;SERGIPE;CERCOS - SE;0,51309;0,26969;0,78278
41;SERGIPE;ESE - SE;0,3462;0,23424;0,58044
42;SERGIPE;SULGIPE - SE;0,40053;0,21706;0,61759
43;TOCANTIS;CELTINS (ETO) -TO;0,42102;0,22633;0,64735
44;TARIFA PERSONALIZADA;TARIFA PERSONALIZADA;0,5;0,5;1
