Estado;Distribuidora;TUSD_TP;TE_TP;TOTAL_TP;TUSD_TFP;TE_TFP;TOTAL_TFP;TUSD_DC
AMAZONAS;AME - AM;1,43;0,39;1,82;0,15;0,23;0,38;17,59
AMAZONAS;CEA - AM;1,18;0,24;1,42;0,11;0,14;0,25;16,33
ALAGOAS;CEAL - AL;1,56;0,35;1,90;0,10;0,22;0,32;15,87
DISTRITO FEDERAL;CEB - DF;0,75;0,38;1,12;0,09;0,23;0,32;8,81
PARA;CELPA - PA;2,36;0,34;2,71;0,07;0,22;0,29;26,36
PERNANBUCO;CELPE - PE;1,23;0,42;1,66;0,07;0,26;0,33;16,88
TOCANTINS;CELTINS (ETO) - TO;1,70;0,36;2,07;0,05;0,21;0,27;28,55
MARANHAO;CEMAR - MA;1,99;0,33;2,31;0,05;0,19;0,25;23,79
MINAS GERAIS;CEMIG - MG;1,17;0,41;1,58;0,09;0,26;0,35;13,95
PIAUI;CEPISA - PI;1,50;0,30;1,80;0,06;0,18;0,24;13,49
SERGIPE;CERCOS - SE;2,36;0,27;2,63;0,04;0,27;0,31;42,63
RONDONIA;CERON - RO;1,25;0,27;1,51;0,06;0,16;0,22;12,30
RORAIMA;CERR - RR;1,68;0,20;1,88;0,07;0,20;0,27;28,44
BAHIA;COELBA - BA;2,08;0,35;2,43;0,06;0,21;0,28;26,76
RIO GRANDE DO NORTE;COSERN - RN;1,62;0,39;2,00;0,05;0,23;0,29;17,83
SÃO PAULO;CPFL - SP;1,12;0,38;1,50;0,09;0,24;0,32;10,35
PARAIBA;EBO - PB;0,94;0,37;1,31;0,04;0,22;0,26;12,63
ESPIRITO SANTO;EDP - ES;1,08;0,41;1,48;0,09;0,25;0,34;25,09
ACRE;ELETROACRE - AC;1,18;0,31;1,48;0,08;0,19;0,26;13,55
ESPIRITO SANTO;ELFSM - ES;1,54;0,40;1,94;0,09;0,24;0,33;18,59
CEARA;ENEL - CE;1,20;0,40;1,59;0,06;0,24;0,30;15,20
RIO DE JANEIRO;ENEL - RJ;1,79;0,40;2,19;0,12;0,26;0,38;24,33
MATO GROSSO;ENERGISA - MT;1,41;0,42;1,83;0,09;0,26;0,36;16,83
PARAIBA;EPB - PB;1,67;0,34;2,02;0,05;0,21;0,25;19,94
SERGIPE;ESE - SE;1,56;0,37;1,93;0,05;0,22;0,27;17,55
RIO DE JANEIRO;LIGHT - RJ;1,07;0,46;1,53;0,15;0,29;0,44;18,39
SERGIPE;SULGIPE - SE;1,89;0,35;2,23;0,06;0,21;0,26;24,39
SÃO PAULO;CPFL - PAULISTA;0,90;0,45;1,35;0,09;0,28;0,37;11,70
SÃO PAULO;EDP - SP;0,85;0,38;1,23;0,08;0,23;0,31;7,44
SÃO PAULO;CPFL - PIRATININGA;0,77;0,41;1,18;0,08;0,25;0,33;9,25
SÃO PAULO;ELEKTRO;1,31;0,39;1,70;0,08;0,24;0,32;18,98
SÃO PAULO;CELG - D;1,20;0,41;1,60;0,08;0,24;0,32;18,06
SÃO PAULO;ENEL - SP;0,56;0,40;0,97;0,08;0,24;0,32;12,96
AMAPÁ;CEA - AP;1,21;0,22;1,44;0,10;0,14;0,24;12,96
PARANA;COPEL - PR;0,91;0,41;1,32;0,08;0,25;0,33;15,26
TARIFA PERSONALIZADA;TARIFA PERSONALIZADA;0,50;0,50;1,00;0,09;0,23;0,32;19,00
