Fornecedor;Codigo;Modelo;Pmax;Vmp;Imp;Voc;Isc;Eficiencia;Tpmax;Tvoc;Tisc;Altura;Largura;Espessura;Area;Celulas;Estilo;Peso
Jinko;Jinko410MonoHalfcell;JKM410N-54HL4;410;31,13;13,17;37,73;13,91;21,00%;-0,003;-0,0025;0,00046;1722;1134;30;1,952748;Mono;Halfcell;22
Jinko;Jinko415MonoHalfcell;JKM415N-54HL4;415;31,32;13,25;37,92;13,99;21,25%;-0,003;-0,0025;0,00046;1722;1134;30;1,952748;Mono;Halfcell;22
Jinko;Jinko420MonoHalfcell;JKM420N-54HL4;420;31,51;13,33;38,11;14,07;21,51%;-0,003;-0,0025;0,00046;1722;1134;30;1,952748;Mono;Halfcell;22
Jinko;Jinko425MonoHalfcell;JKM425N-54HL4;425;31,7;13,41;38,3;14,15;21,76%;-0,003;-0,0025;0,00046;1722;1134;30;1,952748;Mono;Halfcell;22
Jinko;Jinko430MonoHalfcell;JKM430N-54HL4;430;31,88;13,49;38,49;14,23;22,02%;-0,003;-0,0025;0,00046;1722;1134;30;1,952748;Mono;Halfcell;22
Jinko;Jinko450MonoHalfcell;JKM450N-54HL4;450;33,91;13,27;41,18;13,85;20,85%;-0,0035;-0,0028;0,00048;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko460MonoHalfcell;JKM460N-60HL4;460;34,72;13,25;42,05;13,99;21,32%;-0,003;-0,0025;0,00046;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko465MonoHalfcell;JKM465N-60HL4;465;34,89;13,33;42,22;14,07;21,55%;-0,003;-0,0025;0,00046;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko470MonoHalfcell;JKM470N-60HL4;470;35,05;13,41;42,38;14,15;21,78%;-0,003;-0,0025;0,00046;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko475MonoHalfcell;JKM475N-60HL4;475;35,21;13,49;42,54;14,23;22,01%;-0,003;-0,0025;0,00046;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko480MonoHalfcell;JKM480N-60HL4;480;35,38;13,57;42,71;14,31;22,24%;-0,003;-0,0025;0,00046;1903;1134;30;2,158002;Mono;Halfcell;24,2
Jinko;Jinko540MonoHalfcell;JKM540M-72HL4;540;40,7;13,27;49,42;13,85;20,94%;-0,0035;-0,0028;0,00048;2274;1134;35;2,578716;Mono;Halfcell;28,9
Jinko;Jinko550MonoHalfcell;JKM550N-72HL4;550;40,9;13,45;49,62;14,03;21,33%;-0,0035;-0,0028;0,00048;2274;1134;35;2,578716;Mono;Halfcell;28
Jinko;Jinko555MonoHalfcell;JKM555N-72HL4;555;41,64;13,33;50,34;14,07;21,48%;-0,003;-0,0025;0,00046;2278;1134;35;2,583252;Mono;Halfcell;28
